Animal ID                    Profitability
****************************************************
1003                                 -25.88
1004                                 -25.28
1105                                 -10.02
1102                                 -9.62
3005                                 -9.054
3006                                 -8.968
1001                                 -7.00000000000001
3003                                 -6.724
3004                                 -6.354
1103                                 -5.11
3001                                 -4.25
3002                                 -3.56
1104                                 -1.16
1101                                 0.800000000000001
1002                                 4.76000000000001
0                                 7.092
